term,definition
Community,People living in one area
County,A region in Kenya: Nairobi, Mombasa, Turkana
Governor,Leader of a county
President,Leader of the country
Democracy,People vote to choose leaders
Culture,Customs, beliefs, and traditions of a group
Tradition,Practice passed from generation to generation
Festival,A special celebration: Madaraka Day, Jamhuri Day
Heritage,What is passed down: language, art, history
Map,A drawing of an area
Compass rose,Shows direction on a map
Scale,Shows how big the map is compared to real land
Historical site,Place from the past: Fort Jesus, Olduvai Gorge
Artifact,Object from the past: tools, pots
Economy,How people make and use money
Trade,Buying and selling goods
