term,definition
Perspective,Art technique to show depth and distance
Shading,Using light and dark to show form and volume
Tone,Lightness or darkness of a color
Hue,Another word for color
Saturation,How bright or dull a color is
Texture in art,How a surface looks or feels: rough, smooth
Form in art,3D shape: cube, sphere, pyramid
Composition,How elements are arranged in artwork
Balance,Equal visual weight on both sides of artwork
Contrast,Difference between light and dark or colors
Rhythm in art,Repetition of elements to create movement
Unity,All parts of artwork feel like they belong together
Still life,Artwork of non-living things: fruit, vase, book
Landscape,Artwork of natural scenery: mountains, rivers
Portrait,Artwork of a person’s face
