term,definition
Crop,Plant grown by farmers: maize, beans, tea
Livestock,Animals raised on farms: cows, goats, chickens
Soil,Earth where plants grow
Irrigation,Watering crops using pipes or channels
Mulching,Using leaves or grass to keep soil moist
Compost,Decayed plants and animal waste used as fertilizer
Pest,Insect that harms crops
Weed,Unwanted plant that grows with crops
Harvest,Collecting crops when ready
Tool,Device used in farming: hoe, rake, plough
Organic farming,Farming without chemicals
Pollination,Bees moving pollen from one flower to another
Germination,When a seed starts to grow
Fertilizer,Substance added to soil to help plants grow
Seed,What you plant to grow a new plant
